id,category,example_user_query,source_url,summary_in_own_words,correct_destination,red_flag_notes
1,self_care,"I've had a mild sore throat and runny nose for 2 days, what should I do?",https://www.nhs.uk/symptoms/sore-throat/,the patient has cold and sore throat and maybe a little feverish can be healed at home by taking medicine,self_care,Escalate to GP if: not improved after 1 week; very high temperature/feeling shivery; weakened immune system; sore throat with rash/bruising; difficulty breathing/swallowing/drooling
2,self_care,"I got a small cut on my hand while cooking, how do I look after it at home?",https://www.nhs.uk/conditions/cuts-and-grazes/,"Stop any bleeding by applying pressure with a clean cloth or bandage, then clean the wound under running tap water (avoid antiseptic, as it can damage tissue and slow healing) and cover with a plaster or dressing",self_care,Escalate if: bleeding won't stop with pressure; signs of infection; something embedded that can't be safely removed
3,self_care,"My eyes are itchy and I keep sneezing, is this just hay fever?",https://www.nhs.uk/conditions/hay-fever/,The patient is likely allergic to pollen has blocked nose and headahe,self_care,Escalate to GP if: over-the-counter treatments aren't controlling symptoms; check if this could instead be worsening asthma
4,pharmacy,"I think I might have a UTI, burning when I pee, what should I do?",https://www.nhs.uk/conditions/urinary-tract-infections-utis/,The patient feels burning sensation while peeing and has blood in the pee sometimes and feel tired,pharmacy,"Escalate (111/GP) if: symptoms of a kidney infection (fever, back/side pain, confusion) -- this can indicate sepsis risk"
5,pharmacy,"I have a small red rash from an insect bite, it's not spreading, what should I do?",https://www.nhs.uk/conditions/insect-bites-and-stings/,The skin will be red and swollen might need to use the insect bite cream,pharmacy,"CALL 999 if: difficulty breathing, swelling of lips/tongue/throat/face, feeling faint, collapse, confusion -- signs of anaphylaxis"
6,pharmacy,"I keep getting heartburn after meals, is this something I can treat myself?",https://www.nhs.uk/conditions/indigestion/,"The patient feels painful burning in the chest, feel bloated and sick and constant burping and farting",pharmacy,"Escalate to GP if: recurring indigestion plus food getting stuck when swallowing, unintentional weight loss, or persistent vomiting -- possible sign of something more serious"
7,gp,"I've had a cough for over 3 weeks now, should I be worried?",https://www.nhs.uk/symptoms/cough/,"A cough usually clears up on its own within 3 to 4 weeks; in the meantime, rest, drink plenty of fluids, and try hot lemon with honey or ask a pharmacist about cough treatments -- see a GP if it lasts longer than 3 weeks",gp,"See GP if: cough over 3 weeks, very bad/worsening cough, chest pain, losing weight, swollen neck glands, hard to breathe, weakened immune system. See GP URGENTLY if coughing up blood"
8,gp,"My lower back has been hurting for about a week, no injury, what should I do?",https://www.nhs.uk/conditions/back-pain/,The back pain can also be caused by a muscle pull or slip disc or it can be a serious long term problem,gp,"Get urgent help (111/A&E) if: numbness around genitals/buttocks, loss of bladder/bowel control, leg weakness, chest-area pain -- possible cauda equina, a rare but serious emergency"
9,gp,"I've been really tired and lost some weight without trying, for a few weeks now",https://www.nhs.uk/symptoms/unintentional-weight-loss/,"It can be due to mental health conditions,digestion problem,hormone condition or poor nutrition",gp,"See GP as soon as possible, especially if weight loss is ongoing and unexplained -- important to identify cause early"
10,nhs_111,"My 3 year old has a high fever and won't settle, what should I do?",https://www.nhs.uk/symptoms/fever-in-children/,"A high temperature is 38C or above and is very common in young children -- most fevers can be looked after at home and settle within a few days; call 111 if the parent remains worried, the child seems seriously unwell, or other red-flag signs are present",nhs_111,"Verify exact red/amber criteria on the real page -- generally: under 3 months old with any fever, non-fading rash, or child seems seriously unwell needs urgent same-day help"
